Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Residential Type
220253,2022,07/11/2023,Avon,15 BRENTHAVEN,240700.0,615000.0,0.3913,Condo
220013,2022,10/14/2022,Griswold,35 ALVINA AV,101360.0,160000.0,0.6335,Single Family
22014,2022,10/20/2022,Columbia,3 LAKEVIEW PARK,176540.0,275000.0,0.6419,Single Family
220192,2022,03/28/2023,New London,100 PEQUOT AVE #3546,6160.0,16000.0,0.385,Condo
220004,2022,10/04/2022,Windham,18 JAYNES AVE,32540.0,65500.0,0.4967,Single Family
220617,2022,06/20/2023,West Hartford,28 WILTSHIRE LANE,222950.0,367500.0,0.6066,Single Family
220447,2022,03/27/2023,Hamden,37 BAGLEY AVE,111790.0,205000.0,0.5453,Single Family
220225,2022,04/19/2023,Westport,76 NEWTOWN TURNPIKE,506200.0,1040000.0,0.4867,Single Family
220249,2022,01/12/2023,Torrington,193 OAK MEADOW LN,79570.0,302000.0,0.2634,Condo
220146,2022,12/15/2022,Enfield,24 NUTMEG AV,157800.0,285000.0,0.5536,Single Family
221448,2022,07/24/2023,Waterbury,165 WALNUT ST,56270.0,340000.0,0.1655,Three Family
220981,2022,04/24/2023,Bridgeport,405 BURNSFORD AVE,156870.0,335000.0,0.4683,Single Family
220193,2022,07/10/2023,Colchester,39 EDGEWOOD DR,178200.0,375000.0,0.4752,Single Family
220333,2022,11/29/2022,Waterbury,10 PEARL ST,44083.0,225000.0,0.1959,Three Family
220069,2022,01/24/2023,Coventry,94 STONEHOUSE RD #36,3900.0,429900.0,0.009,Condo
220245,2022,06/29/2023,Madison,25 SUMMIT LN,271200.0,616000.0,0.4402,Single Family
220370,2022,07/07/2023,Windsor,26 SPENCER DR,141890.0,335000.0,0.4235,Single Family
22015,2022,10/26/2022,Old Saybrook,26 MAPLEWOOD,324000.0,489000.0,0.6626,Single Family
220249,2022,12/02/2022,Norwalk,75 ROWAYTON WOODS DR UNIT 6-10,233260.0,455000.0,0.5126,Condo
2200313,2022,06/20/2023,East Haven,21 STEVENS ST,122150.0,305000.0,0.4004,Single Family
220066,2022,10/18/2022,Norwalk,1 SILVERMINE TRAIL,73938.0,1358250.0,0.0544,Condo
221588,2022,08/25/2023,Waterbury,75 BAGLEY TERR,92148.0,275100.0,0.3349,Single Family
220941,2022,06/16/2023,Southington,164 HITCHCOCK RD,169210.0,348250.0,0.4859,Single Family
220554,2022,05/17/2023,Norwich,51 DIVISION ST,81000.0,167000.0,0.485,Two Family
220614,2022,06/12/2023,Greenwich,0 HOWARD ROAD,1493660.0,1937025.0,0.7711,Single Family
22328,2022,09/14/2023,Montville,55 CHESTERFIELD RD,182840.0,126861.0,1.4412,Single Family
220317,2022,04/24/2023,Wallingford,41 WEST ST,106500.0,252000.0,0.4226,Single Family
220473,2022,05/01/2023,West Hartford,59 TIMBERWOOD ROAD,168350.0,365000.0,0.4612,Condo
22139,2022,03/01/2023,North Haven,511 ELM ST 4-4,183810.0,325000.0,0.5655,Condo
220902,2022,04/03/2023,Bridgeport,379 REMINGTON ST,70374.0,210000.0,0.3351,Single Family
22039,2022,11/03/2022,Stafford,4 BOWLES RD,118510.0,234000.0,0.5064,Single Family
22000355,2022,08/21/2023,Cheshire,136 CRESCENT CIR,172030.0,429900.0,0.4001,Single Family
220053,2022,11/23/2022,Windham,258 LEWISTON AVE,81570.0,100000.0,0.8157,Two Family
220815,2022,08/03/2023,Greenwich,RIDGE ROAD 0009,717640.0,1951000.0,0.3678,Single Family
220909,2022,09/19/2023,West Hartford,41 TIMBERWOOD ROAD,240520.0,435000.0,0.5529,Condo
220608,2022,05/25/2023,Hamden,26 FARNSWORTH ST,119490.0,265900.0,0.4493,Single Family
2200270,2022,05/01/2023,New Milford,118 BEARD DR,116340.0,230000.0,0.5058,Condo
2200083,2022,02/15/2023,Plymouth,46 TUNNEL ROAD,145880.0,256000.0,0.5698,Single Family
221040,2022,04/28/2023,Waterbury,150 MARK LANE UNIT L3,32820.0,95000.0,0.3454,Condo
221389,2022,09/01/2023,Fairfield,245 UNQUOWA ROAD  #90,168630.0,405000.0,0.4163,Condo
220803,2022,08/01/2023,New Haven,81 WEST PROSPECT ST,249760.0,440000.0,0.5676,Single Family
220067,2022,10/13/2022,Waterbury,20 OLENA AVE,81925.0,170000.0,0.4819,Single Family
220543,2022,09/07/2023,Shelton,9 HEATHER RIDGE,122150.0,235000.0,0.5197,Condo
220001,2022,10/03/2022,Coventry,986 MERROW RD,134700.0,309000.0,0.4359,Single Family
2201493,2022,09/01/2023,Stamford,77 MAC GREGOR DRIVE,464185.0,860000.0,0.5397,Single Family
2200045,2022,03/20/2023,Westbrook,26 HALLS RD,451610.0,817000.0,0.5527,Single Family
220002,2022,10/03/2022,Portland,10 DAIRY FARM RD,151760.0,232500.0,0.6527,Condo
220125,2022,12/19/2022,Harwinton,36 +38 HARWINTON HEIGHTS,124600.0,170000.0,0.7329,Two Family
220487,2022,01/03/2023,Bridgeport,12 LINDA DR,146740.0,295000.0,0.4974,Single Family
22058,2022,07/13/2023,Bolton,14 COOK DR,93600.0,132500.0,0.7064,Single Family
220090,2022,01/18/2023,Bloomfield,219 OLIVER WAY,207200.0,390000.0,0.5312,Condo
220061,2022,11/29/2022,Brookfield,66 LONG MEADOW HILL RD #1,79070.0,195000.0,0.4054,Condo
220421,2022,04/04/2023,Stratford,295B AGAWAM DRIVE,116900.0,290000.0,0.4031,Condo
2200539,2022,09/20/2023,Naugatuck,111-3D MALLANE LA,96180.0,215000.0,0.4473,Condo
220385,2022,03/27/2023,Greenwich,59 OLD STONE BRIDGE ROAD,964390.0,1710000.0,0.5639,Single Family
220028,2022,12/21/2022,East Granby,5 ASPEN RISE,206300.0,355000.0,0.5811,Single Family
220843,2022,06/20/2023,Norwalk,33 BUCKINGHAM PLACE,364750.0,715000.0,0.5101,Single Family
220084,2022,01/20/2023,Colchester,17 SKYLARK RD,20200.0,38000.0,0.5315,Single Family
220153,2022,10/27/2022,Waterbury,142 BENEFIT ST,73483.0,192500.0,0.3817,Single Family
2200241,2022,04/28/2023,East Haven,62 PROSPECT PL EXT,147000.0,315000.0,0.4666,Single Family
22016,2022,10/11/2022,Wilton,14 NUTMEG LA,697760.0,1320000.0,0.5286,Single Family
220454,2022,04/11/2023,New Haven,177 VALLEY ST,162750.0,315714.0,0.5155,Three Family
22010,2022,10/05/2022,Wilton,9 OAK LEDGE LA,402780.0,684950.0,0.588,Single Family
220191,2022,09/21/2023,Oxford,428 QUAKER FARMS ROAD,262000.0,605000.0,0.433,Single Family
2201001,2022,05/30/2023,Stamford,2437 BEDFORD STREET # 22-3 AKA,243700.0,410000.0,0.5943,Condo
220950,2022,08/11/2023,Milford,80 BRANCA CT,201860.0,358000.0,0.5638,Condo
220099,2022,05/25/2023,Brooklyn,357 DAY ST,250400.0,75000.0,3.3386,Single Family
220104,2022,08/28/2023,New Hartford,80 MAPLE HOLLOW ROAD,178500.0,322950.0,0.5527,Single Family
220053,2022,07/24/2023,Pomfret,228 JERICHO RD,210510.0,515000.0,0.4087,Single Family
221525,2022,08/09/2023,Waterbury,297 ROBINWOOD RD,107000.0,262500.0,0.4076,Single Family
22019,2022,12/06/2022,Sherman,4 WAKEMAN HILL ROAD,487100.0,880000.0,0.5535,Single Family
220023,2022,10/24/2022,Coventry,110 SCHOOL ST,169400.0,400000.0,0.4235,Single Family
220803,2022,08/07/2023,Norwich,101 1/2 MERCHANTS AVE,66600.0,95000.0,0.7011,Single Family
22202,2022,09/15/2023,Thompson,5 HIGHLAND DR,36600.0,61500.0,0.5951,Single Family
220183,2022,12/13/2022,New Haven,54 GILBERT AV,159180.0,165100.0,0.9641,Single Family
220898,2022,09/29/2023,Stratford,125 WARNER HILL ROAD UNIT 122,94850.0,260000.0,0.3648,Condo
220111,2022,06/12/2023,Mansfield,2 HILLPOND DR,43800.0,82000.0,0.5341,Single Family
220210,2022,11/07/2022,Bridgeport,310 LAKE AVE,290740.0,726000.0,0.4004,Single Family
220526,2022,05/16/2023,Stratford,62 CRESTWOOD ROAD,250670.0,610000.0,0.4109,Single Family
220341,2022,09/11/2023,Avon,16 KENINGTON ROAD,256220.0,560000.0,0.4575,Condo
220346,2022,02/21/2023,Torrington,100 BERKSHIRE OVAL,59600.0,169000.0,0.3526,Condo
221368,2022,10/12/2022,Manchester,19 CAMBRIDGE STREET,118700.0,194000.0,0.6118,Single Family
220960,2022,04/10/2023,Fairfield,289 RIVERSIDE DRIVE,374430.0,561333.0,0.667,Two Family
22001174,2022,09/05/2023,Weston,27 FOREST ROAD,478050.0,1475000.0,0.3241,Single Family
220028,2022,10/07/2022,West Hartford,30 ARNOLD WAY UNIT 30-2 & GARA,94570.0,177500.0,0.5327,Condo
220105,2022,06/12/2023,Woodstock,55 CROOKED TRAIL,375200.0,625000.0,0.6003,Single Family
220262,2022,09/28/2023,Windsor Locks,20 CHURCH ST,120400.0,310000.0,0.3883,Three Family
2200252,2022,04/18/2023,New Milford,91 WILLOW SPRINGS,107170.0,213000.0,0.5031,Condo
22000057,2022,11/09/2022,Cheshire,141 LANYON DR,210050.0,480000.0,0.4376,Single Family
220375,2022,07/27/2023,Westport,14 JANSON DRIVE,646000.0,1480000.0,0.4364,Single Family
220064,2022,01/17/2023,East Windsor,44 WINDSORVILLE RD,139200.0,300000.0,0.464,Single Family
220072,2022,11/01/2022,New Haven,684 LEGION AV,122010.0,180000.0,0.6778,Two Family
220122,2022,02/14/2023,Killingly,55 ATHOL ST UNIT 55,55580.0,153000.0,0.3632,Condo
2201175,2022,06/30/2023,Stamford,25 FOREST STREET #7F,235380.0,375000.0,0.6276,Condo
22059,2022,04/24/2023,North Stonington,204 CLARKS FALLS,124600.0,326000.0,0.3822,Single Family
220881,2022,09/08/2023,Meriden,10 KENSINGTON AVE,155330.0,266000.0,0.5839,Three Family
2200269,2022,08/28/2023,Bloomfield,94 PERSHING ST,85400.0,299900.0,0.2848,Single Family
220657,2022,06/15/2023,Meriden,549 POMEROY AVE,141960.0,115000.0,1.2344,Single Family
22128,2022,08/24/2023,Beacon Falls,61 RICE LANE,155380.0,290000.0,0.5357,Single Family
22130,2022,05/17/2023,Thompson,342 THOMPSON HILL RD,208100.0,420000.0,0.4954,Single Family
220028,2022,02/14/2023,Bethlehem,21 KASSON RD,189100.0,420000.0,0.4502,Single Family
220376,2022,08/28/2023,Vernon,1 HIGHLAND AVE,137660.0,287000.0,0.4796,Single Family
220386,2022,03/02/2023,Hamden,188 GORHAM AVE,199220.0,435000.0,0.4579,Three Family
220354,2022,12/14/2022,Branford,29 PALMER WOODS CIR,166900.0,339500.0,0.4916,Single Family
220102,2022,02/23/2023,Colchester,240 LEBANON AVE,215300.0,325000.0,0.6624,Four Family
220995,2022,07/06/2023,Southington,234 MOORE HILL DR,203880.0,220000.0,0.9267,Single Family
220091,2022,11/21/2022,Newington,98 COTTONWOOD RD,104590.0,160000.0,0.6536,Condo
220037,2022,10/19/2022,East Hartford,16 KNOLLWOOD RD,164630.0,260000.0,0.6331,Single Family
220603,2022,02/01/2023,Bridgeport,46 VIRGINIA AVE,41070.0,156000.0,0.2632,Condo
222330,2022,08/21/2023,Bridgeport,26 WADE TERRACE,141750.0,335000.0,0.4231,Single Family
220102,2022,03/27/2023,Suffield,214 RATLEY RD,405900.0,1100000.0,0.369,Single Family
220150,2022,04/04/2023,Harwinton,251 HARMONY HILL RD,213440.0,530000.0,0.4027,Single Family
22000019,2022,10/14/2022,Cheshire,1080 S MAIN ST,217260.0,420000.0,0.5172,Single Family
220092,2022,10/17/2022,Bridgeport,333 VINCELLETTE ST UNIT #80,79510.0,175000.0,0.4543,Condo
223428,2022,07/25/2023,Newington,54 WALNUT ST,159830.0,380000.0,0.4206,Single Family
220067,2022,01/23/2023,East Windsor,113 TROMLEY RD,94260.0,165000.0,0.5713,Single Family
220087,2022,05/18/2023,Somers,171 STEBBINS ROAD,149600.0,326800.0,0.4577,Single Family
220751,2022,07/14/2023,New Haven,1569 ELLA T GRASSO BLVD,294280.0,510000.0,0.577,Three Family
220218,2022,07/26/2023,East Hampton,2 BISHOP HILL RD,105940.0,261500.0,0.4051,Single Family
2200553,2022,01/27/2023,Stamford,25 FOREST STREET #14G,601190.0,800000.0,0.7514,Condo
220011,2022,10/17/2022,Bloomfield,1079 BLUE HILLS AVE,37520.0,96000.0,0.3908,Condo
220553,2022,04/13/2023,Milford,39 LONG ISLAND VIEW RD,209270.0,365000.0,0.5733,Single Family
220021,2022,10/07/2022,Meriden,41 STERLING VLG,91490.0,125000.0,0.7319,Condo
220231,2022,06/06/2023,Griswold,35 RAILROAD AVE,120400.0,365000.0,0.3298,Three Family
22074,2022,06/08/2023,North Stonington,7 OAK DR,112490.0,314500.0,0.3576,Single Family
220591,2022,06/15/2023,Stratford,30 DORUS STREET,117880.0,262000.0,0.4499,Two Family
220910,2022,05/31/2023,Southington,377 SOUTH END RD,258380.0,458000.0,0.5641,Single Family
220002,2022,10/05/2022,Litchfield,131 GOODHOUSE RD,341700.0,724000.0,0.4719,Single Family
220211,2022,12/30/2022,Fairfield,1 KNAPPS PARK DRIVE,223860.0,410000.0,0.546,Single Family
220054,2022,01/18/2023,Canton,471 CHERRY BROOK ROAD,157420.0,350000.0,0.4497,Single Family
220354,2022,04/24/2023,Enfield,5 DEBRA ST,161100.0,273000.0,0.5901,Single Family
220593,2022,06/01/2023,New Haven,217 EVERIT ST,560770.0,1185000.0,0.4732,Single Family
220433,2022,03/29/2023,Norwich,222 MCKINLEY AVE EXT,91000.0,318900.0,0.2854,Single Family
221064,2022,08/01/2023,Southington,486 MULBERRY ST,256080.0,550000.0,0.4656,Single Family
220038,2022,10/19/2022,Vernon,165 SOUTH ST UNIT 18,45090.0,103000.0,0.4377,Condo
22016,2022,11/08/2022,Beacon Falls,51 HOCKANUM GLENN DRIVE,249400.0,474900.0,0.5251,Single Family
2200128,2022,01/10/2023,East Haven,65 RUSSO AVE #A5,95130.0,210000.0,0.453,Condo
220475,2022,03/10/2023,Milford,25 THOMPSON ST,166250.0,242000.0,0.6869,Single Family
220286,2022,01/24/2023,West Hartford,54 CARLYLE ROAD,265720.0,439900.0,0.604,Single Family
220126,2022,12/16/2022,Trumbull,2551 HUNTINGTON ROAD,259490.0,363000.0,0.7148,Single Family
221141,2022,09/01/2023,Southington,47 PINECREST DR,134100.0,200000.0,0.6705,Single Family
221123,2022,08/25/2023,Norwalk,24 ALLVIEW AVENUE,210080.0,470000.0,0.4469,Single Family
220100009,2022,01/30/2023,Woodbury,61 INDIAN LANE,176530.0,335000.0,0.5269,Single Family
220577,2022,01/17/2023,Waterbury,123 JUNIPER RIDGE DR,90358.0,160000.0,0.5647,Single Family
220561,2022,04/17/2023,Hartford,93 NEWTON ST,108009.0,304000.0,0.3552,Two Family
220517,2022,05/12/2023,Stratford,194 COLONY STREET,138040.0,300000.0,0.4601,Single Family
220154,2022,01/03/2023,Newington,177 WILLIAMSTOWN CT,49000.0,137000.0,0.3577,Condo
220517,2022,08/24/2023,Wallingford,4 ANNA DR,177900.0,350000.0,0.5082,Single Family
220054,2022,12/30/2022,Griswold,15  EDWARD AV,51100.0,117000.0,0.4367,Single Family
220440,2022,07/03/2023,Shelton,66 AUTUMN RIDGE RD,306740.0,575000.0,0.5335,Single Family
2200200,2022,11/04/2022,Stamford,27 NORTHILL STREET UNIT 5C,112680.0,194500.0,0.5793,Condo
220030,2022,11/02/2022,Windham,138 SPRING ST,98850.0,250000.0,0.3954,Single Family
220503,2022,05/01/2023,New Haven,1528 ELLA T GRASSO BLVD,212450.0,313000.0,0.6787,Three Family
220293,2022,08/07/2023,New Canaan,56 TWIN POND LA,1118740.0,1900000.0,0.5888,Single Family
220082,2022,11/01/2022,Meriden,861 SO CURTIS ST,135100.0,149000.0,0.9067,Single Family
220275,2022,07/20/2023,East Windsor,12C RIVERVIEW DR,87660.0,207000.0,0.4235,Condo
220127,2022,10/24/2022,Bridgeport,2345 MADISON AVE,143331.0,275000.0,0.5212,Single Family
220103,2022,01/17/2023,Avon,65 NORTH FARMS ROAD,417820.0,950000.0,0.4398,Single Family
2200343,2022,05/11/2023,Naugatuck,52 DAMSON LANE,125790.0,220000.0,0.5717,Single Family
220089,2022,11/18/2022,Shelton,3C SHELTON VICTORIAN,64610.0,155000.0,0.4168,Condo
220619,2022,07/11/2023,Torrington,349 ALLEN RD UNIT 15A,45890.0,155700.0,0.2947,Condo
220681,2022,08/30/2023,Branford,115 FLORENCE RD #2B,60700.0,150000.0,0.4046,Condo
220749,2022,05/24/2023,Norwalk,"49 DAY STREET UNITS 205,302,31",380890.0,550000.0,0.6925,Condo
220156,2022,04/03/2023,Killingly,524 MAIN ST,85960.0,105000.0,0.8187,Two Family
220052,2022,02/15/2023,Essex,65 MAIN ST UNIT 1 IVTIN,160200.0,340000.0,0.4712,Condo
220007,2022,10/06/2022,New London,148 ASHCRAFT RD,129220.0,255000.0,0.5067,Two Family
220010,2022,10/11/2022,Brooklyn,32 BLUEBERRY LN,166000.0,369900.0,0.4487,Single Family
220131,2022,11/29/2022,Fairfield,270 ANDRASSY AVENUE,273840.0,465000.0,0.5889,Single Family
220337,2022,06/12/2023,Windsor,82 LIGHTHOUSE HILL RD,192010.0,405000.0,0.474,Single Family
222384,2022,09/07/2023,Bridgeport,1033 MAPLEWOOD AVE #1035,153790.0,435000.0,0.3535,Two Family
220099,2022,11/04/2022,Stratford,59 MERCER STREET,198170.0,340000.0,0.5828,Single Family
220005,2022,10/04/2022,East Granby,2A METACOMET DRIVE,205200.0,359995.0,0.57,Single Family
2200350,2022,07/19/2023,East Haven,140 THOMPSON ST #16B,114100.0,275000.0,0.4149,Condo
222063,2022,09/05/2023,Manchester,15 WELCOME PLACE,96800.0,28000.0,3.4571,Single Family
220039,2022,10/18/2022,Hartford,102 MONTOWESE ST,75963.0,281000.0,0.2703,Single Family
22058,2022,11/22/2022,Southbury,231 C HERITAGE VILLAGE,92130.0,200000.0,0.4606,Condo
220116,2022,11/22/2022,Harwinton,508 HILL RD,192930.0,230000.0,0.8388,Single Family
220041,2022,03/01/2023,Lisbon,327 N BURNHAM HGWY,110070.0,322100.0,0.3417,Single Family
220069,2022,11/07/2022,Shelton,61 RUGBY RD,300230.0,442500.0,0.6784,Single Family
220804,2022,08/31/2023,Stratford,320 RYEGATE TERRACE,239610.0,595000.0,0.4027,Single Family
220762,2022,07/21/2023,Norwich,244 TAFTVILLE-OCCUM RD,126000.0,136500.0,0.9231,Single Family
220281,2022,08/01/2023,Madison,96 BOSTON POST RD,282000.0,635000.0,0.4441,Single Family
220228,2022,01/30/2023,Enfield,139 WEYMOUTH RD,184300.0,318000.0,0.5795,Single Family
220814,2022,09/27/2023,West Haven,351 ELM ST,139930.0,10890.0,12.8494,Single Family
220318,2022,01/18/2023,Hartford,440 WETHERSFIELD AVE,77241.0,345000.0,0.2238,Two Family
220457,2022,04/05/2023,Norwich,76 PECK ST,102200.0,232500.0,0.4395,Single Family
220466,2022,01/25/2023,Fairfield,960 JENNINGS ROAD,322840.0,495000.0,0.6522,Single Family
220218,2022,11/07/2022,Waterbury,245 KENDALL CIR,131580.0,342500.0,0.3841,Single Family
221627,2022,08/31/2023,Waterbury,24 EASTON AVE,71755.0,280000.0,0.2562,Three Family
220414,2022,04/03/2023,West Hartford,733 MOUNTAIN ROAD,245780.0,427000.0,0.5755,Single Family
22130,2022,08/28/2023,Haddam,74 LITTLE MEADOW RD,165950.0,260000.0,0.6382,Single Family
220142,2022,07/27/2023,Canton,615 CHERRY BROOK ROAD,264740.0,424000.0,0.6243,Single Family
220103,2022,11/21/2022,Southington,12 COACH DR,79760.0,212500.0,0.3753,Condo
220203,2022,02/03/2023,Shelton,6 BAYBERRY LA,466690.0,525000.0,0.8889,Single Family
22000131,2022,02/14/2023,Hampton,33 JOHN MACK RD,108530.0,240000.0,0.4522,Single Family
2221,2022,10/25/2022,North Haven,14 LAYDON AVE,155380.0,325000.0,0.478,Single Family
22067,2022,06/20/2023,Salisbury,110 SHARON ROAD,443800.0,900000.0,0.4931,Single Family
220113,2022,09/01/2023,Prospect,77 PUTTING GREEN LA,212060.0,470000.0,0.4511,Single Family
2200082,2022,01/26/2023,Seymour,67-4 BALANCE ROCK RD,69510.0,172000.0,0.4041,Condo
220638,2022,05/16/2023,Milford,12 YORK ST,333230.0,600000.0,0.5553,Single Family
220604,2022,06/30/2023,Torrington,1275 WINSTED RD UNIT 320,67120.0,182700.0,0.3673,Condo
220682,2022,08/30/2023,Branford,49 ROSE ST TOWERS UNIT 510,118600.0,300000.0,0.3953,Condo
2200865,2022,04/28/2023,Stamford,127 GREYROCK PLACE #809,151520.0,275000.0,0.5509,Condo
22274,2022,07/03/2023,Watertown,2 J RYAN WAY,57000.0,592000.0,0.0963,Single Family
220025,2022,11/15/2022,Woodstock,31 RAWSON RD,200000.0,303770.0,0.6583,Single Family
220297,2022,08/15/2023,Madison,22 SILO HILL,453000.0,981000.0,0.4617,Single Family
220020,2022,10/05/2022,Waterbury,73 TANSY DRIVE,99713.0,181900.0,0.5481,Condo
220102,2022,02/22/2023,Windham,30 CHESTNUT ST & 226 PROSPECT,208050.0,430000.0,0.4838,Four Family
221307,2022,06/26/2023,Waterbury,3 GEDDES TERR,94708.0,310000.0,0.3055,Two Family
220972,2022,06/29/2023,Southington,258 CHESTERWOOD TERR,356480.0,15000.0,23.7653,Single Family
220146,2022,11/21/2022,Torrington,399 FUNSTON AVE,83160.0,194900.0,0.4266,Single Family
220145,2022,01/19/2023,Vernon,455 CRICKET CIR,91920.0,179250.0,0.5128,Condo
220164,2022,04/17/2023,Killingly,493 HARTFORD PIKE,124240.0,290000.0,0.4284,Single Family
220658,2022,07/12/2023,Stratford,212A AGAWAM DRIVE,118370.0,500000.0,0.2367,Condo
222018,2022,08/21/2023,Manchester,99 HIGH LEDGE CIRCLE,284200.0,510000.0,0.5572,Single Family
220600013,2022,06/27/2023,Woodbury,53 LEAVENWORTH RD,300290.0,600000.0,0.5004,Single Family
220105,2022,07/06/2023,Hebron,3 MAPLE AVE,117320.0,118000.0,0.9942,Single Family
221493,2022,08/03/2023,Waterbury,388 PERKINS AVE UNIT 4-3,28258.0,90000.0,0.3139,Condo
220985,2022,07/24/2023,Norwalk,24 ANSON ROAD,272730.0,480525.0,0.5675,Single Family
220149,2022,05/09/2023,Rocky Hill,14 OAK HILL ROAD,131740.0,191634.0,0.6874,Single Family
22024,2022,10/18/2022,Southbury,89 A HERITAGE VILLAGE,47920.0,141500.0,0.3386,Condo
220103,2022,11/21/2022,Enfield,100 ABBE RD,142400.0,298000.0,0.4778,Single Family
220344,2022,02/14/2023,Hamden,75 WASHINGTON AVE 4-108,54950.0,86100.0,0.6382,Condo
2201323,2022,07/31/2023,Stamford,5 VAN BUREN CIRCLE,314400.0,630000.0,0.499,Single Family
220687,2022,05/05/2023,Norwalk,2 LINCOLN AVENUE,268940.0,540000.0,0.498,Two Family
220208,2022,11/21/2022,Norwalk,18 FAIRFIELD TER,178200.0,370000.0,0.4816,Single Family
220058,2022,10/18/2022,Milford,314 FOXWOOD LN,171520.0,300000.0,0.5717,Condo
220060,2022,03/22/2023,Weston,95 OLD HYDE ROAD,811530.0,1850000.0,0.4386,Single Family
220391,2022,06/14/2023,Wallingford,34A PILGRIMS HARBOR,126200.0,200000.0,0.631,Condo
220962,2022,08/11/2023,Milford,84 BERTROSE AVE,218940.0,287000.0,0.7629,Single Family
2200950,2022,05/16/2023,Stamford,637 COVE ROAD UNIT A-14,113300.0,205000.0,0.5526,Condo
220260,2022,12/15/2022,Milford,55 LONDONDERRY LN,354720.0,540000.0,0.6568,Single Family
